Term,Abbreviation
metal splash pan,MSP
metal strip,METS
metal threshold,MT
metal thru-wall flashing,MTWF
metal-aluminum-oxide-silicon,MAOS
metal-clad switchgear,MCSWGR
metal-covered door,MCD
metal-dielectric-metal [filter],MDM
metal-interface amplifier,MIA
metallic,MTLC
metallize,MTLZ
metallurgical,MET
metal-nitride-oxide silicon,MNOS
metal-oxide semiconductor,MOS
metal-oxide-semiconductor field effects transistor,MOSFET
metal-oxide-semiconductor transistor,MOST
metal-thick-oxide silicon,MTOS
meteorological,METRL
"meter (instr, comb form)",M
meter [instrument],MTR
metering,MTR
meter-kilogram-second,MKS
method,MTHD
methyl-violet paper,MVP
mezzanine,MEZZ
microammeter,MCAM
microcircuit,MCKT
microcomputer,MCMPTR
microcurrent,MCKT
microelectronic device,MED
microelectronics,MELEC
microelement,MELEM
microfilm,MF
microfunctional circuit,MFC
micrometer,MIC
microminiature,MMIN
micromodule,MMOD
microphone,MIC
microphone element,MICELEM
microprocessor,MIPRCS
microscope,MICR
microwave amplification by stimulated emission of radiation,MASER
microwave early warning,MEW
middle,MDL
middle landing,MLD
midget,MDGT
mildew-resistant thread,MRT
mile,MI
mile per gallon,MPG
mile per hour,MPH
military,MIL
Military Affiliate Radio System,MARS
military characteristics,MC
military characteristics equipment,MCE
military characteristics motor vehicles,MCM
military specification,MILSPEC
military standard [book],MIL-STD
military standard [sheet],MS
millimeter,mm
milliammeter,MAM
mine hauling bogie,MHB
mineral,MNRL
mineral-surface roof,MSR
minesweeping light,MSLT
miniature,MINTR
minicomputer,MNCMPTR
minimum,MIN
minimum discernible signal,MDS
minor,MIN
mirror,MIR
miscellaneous,MISC
miscellaneous simulation generation,MSG
missile,MSL
missile boat tail,MSLBT
missile impact predictor,MIP
missile precision instrumentation radar,MPIR
mission and traffic control,MTC
miter,MIT
miter end,ME
mixed flow,MXFL
mixing,MXG
mixture,MXT
mobile,MBL
mobile engine test stand,METS
mobile unit support base,MUSB
mock-up template,MUT
mode transducer,MXDCR
model,MOD
model [military nomenclature],M
model-based definition,MBD
model-based enterprise,MBE
model-based standards development,MBSD
model-based systems engineering,MBSE
model block,MB
modification,MOD
modification work order,MWO
modify,MOD
modulated continuous wave,MCW
modulator,MOD
modulator-demodulator,MODEM
module,MDL
modulus,MOD
mogul,MGL
moisture,MSTRE
mold line,ML
molded,MLD
molding,MLDG
mole,MOL
molecular electronics,MOLELEX
molecular weight,MOLWT
molecule,MOL
momentary,MOM
momentary contact,MC
monitor,MON
monograph,MONOG
monolithic,ML
monolithic integrated circuit,MIC
monophonic,MONO
monopulse radar,MPR
monostable multivibrator,MNSTBMV
month,MO
monument,MON
mooring,MRG
mop rack,MOPR
Morse taper,MORT
mortar motor carrier,MMC
mosaic,MOS
most probable number,MPN
most significant bit,MSB
mostly,MSLY
motherboard,MTHBD
motion,MTN
motion picture control panel,MPC
motion picture phonographic unit,MPPH
motion picture projector,MPP
motor,MOT
motor belt drive,MBD
motor can,MOCAN
motor chain,MC
motor circuit switch,MCSW
motor direct,MD
motor direct-connected,MDC
motor field,MF
motor generator,MG
motor operated,MO
motor transport,MT
motor V-belt,MVB
motor whaleboat,MWB
motorboat,MB
motorcycle,MTRCL
motor-driven,MTRDN
motorized,MTZ
mount,MT
mounted,MTD
mounting,MTG
mounting center,MTGC
movable,MVBL
movement,MVT
moving,MVG
moving-target indicator,MTI
muffler,MUF
muller,MULR
multiaperture logic element,MALE
multiaperture reluctance switch,MARS
multi-chip,MC
"multi-chip modules,laminated",MCM-L
multidirectional,MULTD
multifrequency pulsing,MFP
multigage,MG
multilith,MULTH
multimeter,MULTR
multiplane,MLTPL
multiple,MULT
multiple contact,MC
multiple gun motor carriage,MGMC
multiple unit,MU
multiplex,MUX
multiplication,MULT
multiplier,MULTR
multipole,MP
multipurpose,MP
multipurpose tractor oil,MPTO
multispeed,MLTSP
multivibrator,MV
munitions,MUN
music wire,MUW
music wire gage,MWG
mutilated,MUT
muzzle,MZL
muzzle velocity,MV
namely,VIZ
nameplate,NPL
narrow,NAR
narrow band,NB
narrow gage,NG
national,NATL
National coarse [thread],NC
National Electrical Code,NEC
National Electrical Code standards,NECS
National Electrical Safety Code,NESC
National extra fine [thread],NEF
National fine [thread],NF
National form [thread],N
national formulary,NF
National gas outlet [thread],NGO
National pipe thread,NP
National special [thread],NS
national stock number,NSN
National taper pipe [thread],NPT
National Wire Gage,NWG
NATO Commercial and Government Entity,NCAGE
natural,NAT
natural black slate,NBS
natural logarithm,LN
nautical,NAUT
nautical mile,NMI
naval,NAV
naval bronze,NAVBRZ
naval electronic warfare simulator,NEWS
naval oceanographic meteorological automatic device,NOMAD
navigate,NAV
navigation countermeasures and deception,NAVCMD
navigational aid,NAVAID
navigational aid inoperative for parts,NAIOP
Navy primary standards,NPS
Navy secondary standards,NSS
navy standard flange,NFL
navy type,NT
near face,NF
near side,NS
necessary,NEC
needle,NDL
negative,NEG
negative print,NEGPR
negative temperature coefficient,NTC
negative torque signal,NTS
negative-positive-negative negative,NPNN
negative-positive-negative [transistor],NPN
negative-positive-negative-positive,NPNP
neon indicating light,NEIL
neoprene,NPRN
net weight,NTWT
net-laying light,NLLT
network,NTWK
neutral,NEUT
neutralizing,NEUT
neutron,NTN
never used,NU
new product introduction,NPI
next assembly,NA
next higher assembly,NHA
nickel,NKL
nickel copper,NICOP
nickel copper alloy,NCA
nickel steel,NS
nickel-plated,NP
nickel-silver,NISIL
night message,NTM
night ration locker,NRL
night vision goggles,NVG
night vision imaging system,NVIS
nipple,NIP
nitride steel,NITSTL
nitrostarch,NITROS
no bias [relay],NB
no change,NC
no coil,NC
no connection,NC
no control circuit contacts,NOCCC
no drawing,ND
no good,NG
no lead,NL
no load,NLD
no voltage release,NVR
noise equivalent temperature,NET
noise factor,NF
noise figure,NF
noise frequency,NF
noise generator,NGEN
noise meter,NM
nomenclature,NOMEN
nominal,NOM
noncombustible,NCOMBL
noncorrosive metal,NCM
non-coupled,NCPLD
nondestructive evaluation,NDE
nondestructive inspection,NDI
nondestructive readout,NDRO
nondestructive testing,NDT
nonelectric,NELEC
nonenclosure,NENCL
nonflammable,NFLMB
non-fused,NFSD
nongovernment standards,NGS
nonhygroscopic,NH
nonlinear,NLNR
nonmagnetic,NMAG
nonmetallic,NM
non-oscillating,NOSC
nonpetroleum,NPET
nonprocurable,NP
nonpropelled,NP
nonreactive [relay],NR
nonreinforced concrete pipe,NRCP
nonreplenishable demand,NRD
nonreturn,NRETN
non-return-to-zero,NRZ
nonreversible,NRVSBL
nonself,NSLF
nonslip tread,NST
nonstandard,NONSTD
nonstructural,NSTRL
nonsynchronous,NONSYN
nontight,NT
nonwatertight,NWT
normal,NORM
normal charge,NLCHG
normal circular pitch,NCP
normal diametral pitch,NDP
normal fuel oil tank,NFT
normal lube oil tank,NLT
normal overload,NOL
normal pressure angle,NPA
normal temperature and pressure,NTP
normalize,NORM
normally closed,NC
normally open,NO
north,N
nose fuse,NF
nose landing gear,NLG
not applicable,NA
not available,NA
not for new design,NFND
not for use with,NFUW
not in contract,NIC
not to scale,NTS
notched,NCH
notice of revision,NOR
novelty [insul],N
November,NOV
nozzle,NOZ
nozzle control unit,NCU
nuclear,NUC
nuclear magnetron,NM
nuclear reactor,NR
number,NO
numeral,NUM
numerical,NUM
numerical control,NC
nut plate,NTPL
nylon,NYL
objective,OBJV
oblique,OBL
obscure,OB
obscure glass,OGL
obscure wire glass,OWGL
observable critical item,OCI
observable critical processes,OCP
observation,OBSV
observation window,OBW
observe,OBS
obsolete,OBS
obstruction,OBSTN
obverse,OBV
occupy,OCC
octagon,OCT
octahedral,OCTAHDR
octal print punch,OPP
octane,OCT
October,OCT
octuple,OCT
odometer,ODOM
of true position,OTP
offensive [ammunition],OFFEN
office,OFC
officer,OFCR
official,OFCL
offset,OFS
offset printing press,OPPR
ohmmeter,OHM
oil burner,OBNR
oil catcher,OCHR
oil circuit breaker,OCB
oil circuit recloser,OCR
oil cleaner,OCLNR
oil control,OCONT
oil cooler,OCLR
oil differential,ODIFF
oil dipstick,ODPSK
oil filter,OFL
oil level,OLVL
oil nozzle,ONOZ
oil pan,OPN
oil plug,OPLG
oil pressure,OPRS
oil pump,OP
oil renewal system,ORS
oil ring,OR
oil screen,OSCRN
oil seal,OSL
oil suction pump,OSP
oil switch,OS
oil tank,OTK
oil-cooled,OCLD
oil-immersed,OI
oil-immersed water-cooled,OIWC
oil-insulated,OI
oil-insulated fan-cooled,OIFC
oil-insulated self-cooled,OISC
oilproof,OP
oiltight,OT
olive drab,OD
on center,OC
on-vehicle equipment,OVE
one-pole,SP
one-shot,OS
one-shot multivibrator,OSMV
one-stage,OSTG
one-way,OW
one-wire,OW
Ontology Web Language,OWL
opalescent indicating light,OPIL
opaque,OPA
open drip proof,ODP
open drip proof protected,ODPP
open end,OE
open hearth,OH
open joisted,OJ
open ventilated,OV
open-close-open,OCO
opener,OPR
opening,OPNG
openside,OPSD
open-type control circuit contacts,OTCCC
open-window unit,OWU
operate,OPR
operating steam pressure,OSP
operating system,OS
operation,OPN
operational,OPNL
operational assistance and instructive data equipment,OAIDE
operational support equipment,OSE
operator table,OPRT
opposite,OPP
opposite commutator end,OPPCE
opposite pulley end,OPPPE
optical,OPT
optical axis,OPTAX
optical character recognition,OCR
optical detection and ranging,OPDAR
optimum,OPT
optimum working frequency,OWF
optional,OPTL
orange,
orange,ORN
orange indicating light,OIL
orbital determination module,ODM
orbiting astronomical observatory,OAO
orbiting geophysical observatory,OGO
order,ORD
ordinary,ORD
ordnance,ORD
organic,ORG
organization,ORG
orientation,ORIENT
orifice,ORF
orificed reverse flow check,ORFC
origin,ORIG
original,ORIG
original equipment manufacturer,OEM
0-ring face seal,ORFS
0-ring port,ORP
ornament,ORN
oscillate,OSC
oscillating,OSCG
oscillator,OSC
oscillogram,OSCGRM
"oscillograph, string",OSCG
oscilloscope,SCOPE
other design activity,ODA
otherwise specified,OS
ounce,OZ
ounce-inch,OZIN
out of print,OP
outboard,OUTBD
outer wing,OW
outerback end,OBE
outgoing,OUT
outgoing repeater,OGR
outgoing trunk,OGT
outlet,OUT
output,OUT
output display unit,ODU
output register,OR
output shift register,OSR
output transfer gear,OTG
output translator,OUTXLTR
outside,OUT
outside circumference,OC
outside diameter,OD
outside diameter tube,ODT
outside face,OF
outside helix angle,OHA
outside mold line,OML
outside of metal,OM
outside radius,OR
outside screw & yoke,OSY (OS&Y)
outside trim template,OTT
outstanding leg,OSL
out-to-out,OO
oval head,OVH
oval point,OVP
over all extended,OAE
overall,OA
overall length,OALG
overall lowered,OALWR
overarm,OVRM
overboard,OVBD
overcurrent,OC
overcurrent relay,OCR
overflow,OVFL
overfrequency relay,OFR
overhanging,OVHG
overhaul,OVHL
overhaul and repair,OR
overhead,OVHD
overload,OVLD
overload relay,ORLY
overpower,OVPWR
overpressurized,OVPRS
override,OVRD
override control bits,OCB
oversize,OVS
overspeed,OVSP
overtone,OT
overtravel,OVTR
overvoltage,OVV
own Doppler nullifier,ODN
oxide,OXD
oxidized,OXD
oxygen,OXY
oxygen breathing apparatus,OBA
Ozalid print,OP
ozone-depleting chemical,ODC
ozone-depleting substance,ODS
pad and boom [refueling],PB
padder [capacitor],PAD
padlock,PL
page printer,PPTR
paint,PNT
painted,PTD
painted base,PB
painting stringer,PNTSTGR
paints and oils,PO
pallet,PLL
pan head,PNH
panel,PNL
panel point,PP
panic bolt,PANS
panoramic,PAN
pantograph,PANT
pantry,PAN
paper,PPR
paperboard,PBD
parabola,PRB
parabolic,PRBLC
parabolic fillet,PA
paraboloid,PRBD
parachute,PRCHT
paragraph,PARA
parallax,PRX
parallel,PRL
parallel-to-serial,PS
parameter,PRMTR
parametric amplifier,PARAMP
parametric synthesis,PARSYN
paravane,PARV
paravane and stores crane,PARVSTRCRA
parchment,PCHT
parenthesis,PAREN
parity bit,PBIT
parkerized,PARK
parking,PRKG
parking brake,PRKGBK
parkway,PKWY
part number,PN
part of,PO
part or identification number,PIN
partial,PART
particle,PTCL
particulate,PTCLT
parting line [castings],PL
partition,PTN
partly,PTLY
parts catalog,PC
parts kit,PRTKT
parts list,PL
party,PTY
passage,PASS
passenger,PASS
passing scuttle,PS
passing window,PW
passivate,PSVT
passive,PSIV
passive airborne detection and ranging,PAADAR
passive countermeasures,PACM
passive detection and location of countermeasures,PAD LOC
passive detection and ranging,PADAR
paste,PST
pastry,PST
patent,PAT
patent pending,PATPEND
pathological,PATHOL
patrol,PTL
pattern,PATT
pavement,PAVMT
pay load,PLD
peacoat locker,PLKR
peak inverse [reverse] voltage,PRV
peak to peak,PP
pedestal,PED
peeler,PELR
pelorus,PLRS
pelorus stand,PLRSTN
pencil,PCL
pending,PEND
pendular,PNDLR
pendulum,PNDLM
penetrate,PEN
penetration,PEN
pennant,PNNT
"penny [nails, etc.]",D
pennyweight,DWT
pentaerythritol tetranitrate,PETN
pentagon,PNTGN
pentode,PENT
percent,PCT
percussion,PERC
perfect,PERF
perforate,PERF
performance,PRFM
performance evaluation and review technique,PERT
"Performance, Operational, and Maintenance Standards for Electronic Equipment",POMSEE
performed,PERF
perimeter acquisition radar,PACR
period,P
periodic,PERD
peripheral,PRPHL
peripheral command indicator,PCI
peripheral unit [computers],PU
periscope,PERIS
permanent,PERM
permeability,PERMB
permission,PERM
perpendicular,PERP
person,PER
personnel,PERS
personnel carrier,PC
perspective,PERSP
petroleum,PETRO
"petroleum, oils, and lubricants",POL
pewter,PWTR
phantom,PHM
pharmacological,PHARMACOL
pharmacy,PHAR
phase,PH
phase conversion and step/ down,PHCVSD
phase meter,PHM
phase shift,PSH
phase-shift driver,PSHD
phenolic,PHEN
Phillips-head,PHH
phone,PH
phonograph,PHONO
phosphate,PHOS
phosphor bronze,PHBRZ
phosphorescent,PHOS
photo butt line,PBL
photo contact master,PCM
photocopy,PHOC
photodiode,PDIO
photoelectric,PELEC
photoelectric cell,PEC
photoelectric scanner,PES
photoflash,PHOFL
photograph,PHOTO
photolithographic,PHOTOLITH
photostat,STAT
phototransistor,PXSTR
phrase,PHR
physical,PHYS
physical configuration identification,PCI
physiological,PHYSIOL
pickled and oiled,PO
pickup,PU
picture,PIX
piece,PC
piece mark,PCMK
pierce,PRC
"pierce, blank, and form die",PBFD
pierced aluminum plank,PAP
pierced steel plank,PSP
piezoelectric crystal unit,CU
pigment,PGMT
pigtail,PGT
pilaster,P
piling,PLG
pillar,PLR
pillow block,PLBLK
pilot,PLT
pilot light,PLTLT
pilot operated,PLTOPR
pilothouse,PLTHS
pinion,PIN
pinion end,PE
pint,PT
pintle,PTL
pioneer,PION
pipe plug,PPG
pipe rail,PR
pipe sleeve,PSL
pipe tap,PT
pipeline,PPLN
pipette,PPE
piping,PP
pistol,PSTL
piston,PSTN
pitch,P
pitch circle,PC
pitch diameter,PD
pitch line,PL
pitometer log,PTMTLG
pivot,PVT
pivoted door,PD
pivoted window,PW
place,PL
places,PL
plain,PL
plain washer,PW
plan position indicator,PPI
plan view,PV
planar,PLNR
planar epitaxial passivated [transistor],PEP
plane,PLN
plane position indicator,PPI
planet,PLNT
planetary,PLNTY
plank,PLK
planning,PLNG
plant,PL
plaque,PLQ
plaster,PLAS
plastic,PLSTC
plate,PL
plate [electron tube],P
plate glass,PLGL
plated,PLD
platform,PLATF
plating,PLTG
platinum,PT
pliers,PLR
plotting,PLOT
plow-steel rope,PSR
plug cock,PC
plumbing,PLMB
plumbing and deck drain,PDD
plunger,PLGR
plus or minus,PORM
pneumatic,PNEU
pneumatic tube,PT
pnpn transistor magnetic logic,PTML
pocket,PKT
point,PT
point detonating,PD
"point detonating, self-destroying",PDSD
point initiating,P1
"point initiating, base detonating",PIBD
point insulating,PI
point of compound curve,PCC
point of curve,PC
point of frog,PF
point of intersection,P1
point of reverse curve,PRC
point of spiral tangent,PST
point of switch,PS
point of tangency,PT
point-detonating fuze,PDF
point-to-point,PP
polar,POL
polar orbiting geophysical observatory,POGO
polarity,PLRT
polarity,PLRT
polyester,POLYEST
polyethylene [insul],POLTHN
polyethylene-insulated conductor,PIC
polypropylene,PP
polystyrene,PS
polytetrafluorethylene,PTFE
polyvinyl chloride,PVC
pontoon,PON
poppet,PPT
popping,POP
porcelain,PORC
Porro,POR
port and starboard,PS
port light,PLT
port of embarkation,POE
port side light,PSLT
portable,PORT
position,POSN
position indicator,PIN
positioner,PSNR
positive,POS
positive crankcase ventilation,PCV
positive displacement,PDISPL
positive pin retention,PPR
positive reverse (inverse) voltage,PRV
positive-intrinsic-negative [transistor],PIN
positive-negative-intrinsic-positive [electron device],PNIP
positive-negative-positive [transistor],PNP
positive-negative-positive-negative [electron device],PNPN
post indicator valve,PIV
post office,PO
posts and timbers,PT
potable water,POTW
potential,POT
potential difference,PD
potential switch,PSW
potential transformer,PT
potentiometer,POT
pound,LB
pound force,LBF
pound per cubic foot,PCF
pound per horsepower,PHP
pound-force foot,LBFT
pound-force inch,LBIN
pound-force per hour,PHR
pound-force per square foot,PSF
pound-force per square inch,PSI
powder,PDR (PWD)
powder metal,PM
powder passing,PWDP
power,PWR
power amplifier,PA
power and lighting,PL
power and lighting distribution,PLDISTR
power circuit breaker,PCB
power control unit,PCU
power directional relay,PDR
power factor,PF
power factor meter,PFM
power oscillator,PO
power package,PPKG
power plant,PP
power steering,PS
power supply,PWRSPLY
power supply (comb form),PS
power supply unit,PSU
power switchboard,PSWBD
power takeoff,PTO
power train,PT
power train oil temperature,PTOTEMP
power turbine,PTURB
power unit,PU
power-driven,PDVN
powered,PWRD
powerhouse,PWRH
power-line carrier,PLC
power-operated,POPD
practice,PRAC
preamplifier,PREAMP
prearm,PA
prebent,PRBNT
precast,PRCST
precedence,PREC
pre-charge,PRCH
precipitate,PPT
precipitation,PRECP
precipitin,PRCPTN
precision,PRCN
precision approach radar,PAR
precision long-range tracking radar,PRELORTR
precleaner,PRECLNR
precombustion chamber,PC
precooler,PCLR
prefabricated,PREFAB
preference,PREF
preferred,PFD
prefix,PREF
prefocus,PRFCS
prefocused,PREF
preformed,PREFMD
preformed beam,PFB
preheat,PHT
preheater,PHR
preinserted,PINSTD
preliminary,PRELIM
prelube,PRLUB
premium,PREM
premolded,PRMLD
premolded expansion joint,PEJ
preparation,PREP
prepare,PREP
preproduction,PREPROD
prescreener,PRESCRN
prescription,PRESCR
present,PRES
preservation,PSVTN
preservation method,PVMTD
preservative,PSVTV
preserve,PSV
press,PRS
press fit,PRFT
pressboard,PBD
pressed,PRSD
pressed metal,PRSDMET
presser,PRSR
presser foot,PRFT
pressure,PRESS
pressure angle,PA
pressure gage,PG
pressure proof,PP
pressure seal,PSL
pressure sensitive,PS
pressure vessel,PV
pressure-reducing valve,PRV
pressure-volume-temperature,PVT
pressurize,PRSRZ
prevent,PVNT
preventative,PVNT
previous,PREV
price and availability,PA
primary,PRI
primary coolant system,PCS
prime,PRM
prime mover,PMVR
primer,PRMR
priming,PRM
print,PT
printed,PTD
printed circuit,PC
printed circuit board,PCB
printed wiring,PW
printed wiring assembly,PWA
printed wiring board,PWB
printer,PTR
printing,PRNTG
printout,PTOUT
priority,PRI
priority data reduction,PDR
prism,PSM
private automatic branch exchange,PABX
private automatic exchange,PAX
private branch exchange,PBX
probability,PROB
probable,PROB
probable error,PE
probe,P
problem,PROB
procedure,PROC
proceedings,PROC
process,PRCS
process specification [no number],PRCSSPEC
process specification [number],PS
process water cooler,PWC
processing,PRCSG
processing unit,PROCU
procurement,PRCMT
producibility engineering and planning,PEP
product,PROD
product and manufacturing information,PMI
product breakdown,PBKDN
product control,PC
product identification number,PIN
product lifecycle management,PLM
production,PROD
production estimate card,PECARD
production illustration,PI
production order,PO
production parts approval process,PPAP
profile,PF
program,PRGM
program drum recording,PDR
program register,PRGMRGTR
programmable integrated control equipment,PICE
programmable array logic,PAL
programmable logic array,PLA
programmable logic controller,PLC
programmable logic device,PLD
programmable read-only memory,PROM
programmable unijunction [transistor],PUJT
programmed instruction,PI
programming,PRGMG
programming language 1,PL1
progress,PROG
progression,PROG
project,PROJ
projected tolerance zone,PTZ
projected window,PW
projectile,PJCTL
projection,PJTN
projector,PJTR
proof,PRF
proof shot [projectile],PS
proofread,PRFRD
propane,PRPN
propellant,PRPLT
propelled,PROP
propeller,PROP
propeller order,PRO
propeller revolution,PRV
propeller revolution indicator system,PRIS
propelling,PROP
property,PROP
property line,PL
proportion,PROPN
proportional limit,PL
proposal,PRPSL
proposed,PRPSD
proprietor,PROP
propulsion,PRPLN
prosthetic,PRSTC
protect,PTCT
protection,PROTN
protective,PROT
protective device,PROTDEV
Protosynthex index,PSI
prototype,PROTO
protractor,PROTR
proving ground,PG
provision,PROV
provisioning parts breakdown,PPB
proximity [fuze],PROX
public address,PA
publication,PUBN
pull and push plate,PPP
pull box,PB
pull button,PLB
pull rod,PLRD
pull switch,PS
pull-button switch,PBSW
puller,PLR
pulley,PUL
pulley end,PE
pulsating current,PC
pulsation,PLSN
pulsator,PLSR
pulse,PLS
pulse acquisition radar,PUAR
pulse amplifier,PA
pulse frequency,PF
pulse per minute,PPMIN
pulse repetition period,PRP
pulse time,PT
pulse width,PW
pulse-amplitude modulation,PAM
pulse-code modulation,PCM
pulse-count modulation,PCTM
pulse-duration modulation,PDM
pulse-frequency modulation,PFM
pulse-interval modulation,PIM
pulse-position modulation,PPM
pulse-repetition frequency,PRF
pulse-repetition rate,PRR
pulse-repetition time,PRT
pulse-time modulation,PTM
pulse-time multiplex,PTMUX
pulse-width modulation,PWM
pulverizer,PULV
pump discharge,PDISCH
"pump, hydraulic ram, hand driven",PHRHD
punch,PCH
punch die,PD
punching,PCHG
purchase,PURCH
purchase order,PO
purchase request,PR
purchased finished,PF
purchasing department specification,PDS
pure water,PWTR
purge,PRG
purging,PRNG
purification,PRFCN
purifier,PUR
purple,PRP
purple indicating light,PIL
purpose,PRP
push button,PB
push rod,PRD
push-button station,PBSTA
push-pull,PP
pyramid,PYR
pyrogen unit,PYGN
pyrometer,PYROM
pyrotechnic,PYRO
quadrant,QDRNT
quadrature,QDRTR
quadruple,QUADR
qualification,QUAL
qualified,QUAL
qualified products list,QPL
qualitative,QUAL
quality,QUAL
quality assurance,QA
quality assurance provision,QAP
quality characteristics list,QCL
quality conformance inspection,QCI
quality control,QC
quality control reliability,QCR
quality deficiency report,QDR
quality information framework,QIF
quality operating system,QOS
quality verification testing,QVT
quantitative,QUANT
quantity,QTY
quantum amplification by stimulated emission of radiation,QUASER
quarry,QRY
quarry tile base,QTB
quarry tile floor,QTF
quarry tile roof,QTR
quart,QT
quarter,QTR
quarter hard,QTRH
quarter round,QTRRD
quarter-phase,QTRPH
quartz,QTZ
quaternary,QUAT
question,QUEST
question and answer,QA
quick coupler,QCPLR
quick disconnect,QDISC
quick drop,QD
quick dump,QDUMP
quick engine change,QEC
quick release,QREL
quick shift,QS
quick-acting,QA
quick-break,QB
quick-cleaning,QC
quick-firing,QF
quick-look intermediate tape,QLIT
quick-opening device,QOD
quiescent,QUIES
quintuple,QUIN
quotation,QUOT
quotient,QUOT
radar,RDR
radar (comb form),R
radar bright display equipment,RBDE
radar countermeasures,RCM
radar input mapper,RIM
"radar mapper, gap filler",RMGF
"radar mapper, long range",RMLR
radar planning device,RPD
radar simulator,RSIM
radar start,RST
radar transmitter,RDRXMTR
radiac,RDC
radial,RDL
radiate,RAD
radiated emission,RE
radiated susceptibility,RS
radiation,RADN
radiator [automotive],RDTR
radio,RAD
radio detection and ranging,RADAR
radio direction finding,RDF
radio frequency,RF
radio frequency amplification by stimulated emission of radiation,RASER
radio frequency interference,RFI
radio inertial,RIN
radio interference field intensity,RIFI
radio noise factor [figure],RNF
radio operator,RADOPR
radio telegraph,RTLG
radio telephony,RTEL
radio teletype,RTT
radio teletypewriter,RTTY
radioactive,RAACT
radioactive liquid waste,RALW
radiochemistry,RADCHM
radio-frequency choke,RFC
radio-frequency interference,RHI
radiographic inspection,RADINSP
radiological,RADL
radiological defense,RADDEF
radiological warfare,RADWAR
radius,R
radius,RAD
radome station,RS
railcar,RLCR
railing,RLG
railroad,RR
railway,RY
raintight,RT
rainwater conductor,RWC
raised,RSD
raised face,RF
raised face diameter,RFD
raised face height,RFH
ramjet,RMJ
random,RNDM
random access discrete address system,RADAS
random-access indestructive advanced memory,RAIAM
random-access memory,RAM
range,RNG
range and evaluation guidance for approach and landing,REGAL
range error probability,REP
range light,RALT
range marks,RM
range surveillance,RS
range-height indicator,RHI
range-rate indicator,RRI
rapid action change,RAC
rapid rectilinear,RR
ratchet,RCHT
rate of change,RC
Rateau,RAT
rating,RTG
ratio,R
rattail,RTTL
raw material,RM
raw tape write submodule,RTWS
raw water,RW
rawhide,RWHD
rayon,RYN
reactance,REAC
reaction,RCTN
reactivate,REACTVT
reactive,REAC
reactive factor meter,RFM
reactive volt-ampere meter,RVA
reactive voltmeter,RVM
reactor,REAC
reactor compartment,RC
reactor core,RCO
reader,RDR
reader common contact,RCC
reader tape contact,RTC
readiness,RDNS
reading,RDNG
readout,RDOUT
readout and relay,RR
read-write [head],RW
ready,RDY
ready for issue,RFI
ready service,RS
real and not corrected input data,RANCID
real time,RT
real-time input-output transducer,RIOT
reamer,RMR
rear axle,RRAX
rear connection,RC
rear view,RV
rear-connected,RC
reason,REAS
rebabbitt,RBBT
recalculated,RECALC
recall,RCL
receive,RCV
received,RCVD
receive-only tape perforator,ROTP
receiver,RCVR
receiver-transmitter,RT
receiving,RCVG
receptacle,RCPT
reception,RCPTN
recess,REC
recharger,RECHRG
reciprocate,RECIP
recirculate,RECIRC
reclaimer,RCLM
reclaiming,RCLMG
reclined,RCLD
reclose,RECL
recognition,RECOG
recoil,RCL
recoil mechanism,RECMECH
recoilless,RCLS
recommend,RECM
recompression,RCMPRS
recondense,RECOND
recondition,RCNDT
reconnaissance,RECON
reconnaissance (aircraft),R
record,RCD
record and report,RAR
recording ammeter,RAMM
recording demand meter,RDM
recording kilovolt-ampere meter,RKVAM
recording tachometer,RTM
recording varmeter,RVARM
recoverability,RECY
recovery,RCVY
recreation,RCN
rectangle,RECT
rectangular,RECT
rectifier,RECT
recurrent,RCUR
red,R
red fuming nitric acid,RFNA
red indicating lamp,RIL
redesignate,REDSG
redrawn and revised,RR
reduce,RDC
reduced charge,RCHG
reduced hard pressure,RHP
reducer,RDCR
reducing,REDC
reduction,RDCN
reduction of area,RA
reefing hook,RHK
reentry,REY
reentry vehicle,RV
refacer,RFCR
reference,REF
reference designation,REFDES
reference engineering photo template,REPT
reference line,REFL
refined,RFND
refinery,REF
reflectance,REFL
reflected,REFLD
reflective insulation,RI
reflector,REFL
reflex,RFLX
refractory,RFRC
refrigerant,RFGT
refrigerate,REFR
"refrigerator, mechanical household",RMH
regardless of feature size,RFS
regenerate,REGEN
regenerative,REGEN
register,RGTR
register drive,RD
regular,RGLR
regulate,RGLT
regulating,RGLT
regulator,RGLTR
reheater,RHR
Reid vapor pressure,RVP
reinforce,REINF
reinforced concrete,RC
reinforced tile lintel,RTL
reinforced-concrete culvert pipe,RCCP
reinforced-concrete pipe,RCP
reinforcing steel,RST
reject,REJ
relate,RLT
relation,RLTN
relative,REL
relative biological effectiveness,RBE
relative humidity,RH
relaxation,RLXN
relay,RLY
relay block,RB
release,REL
reliability,RELBL
relief,RLF
relief radii,RR
relief valve,RV
relieve,RLV
relocate,RELO
relocated,RELOC
remainder,REM
remanufactured,REMFD
remote,RMT
remote control,RC
remote control system,RCS
removable,REM
removable cover,REMCOV
remove,RMV
remove and replace,RR
renewable,RNWBL
renewal,RNL
renewal parts data,RPD
renewal parts leaflet,RPL
repair,RPR
repeat,RPT
repeater,RPTR
repeating coil,RPTC
repeller,RPLR
repetition,RPTN
replace,REPL
replacement,REPLT
replenish,RPLN
replenishing,RPLNG
replenishment,RPNSM
